Team,Opp,Date,Type,Player,Timer,x1,y1,x2,y2
ATM,RMA,13.09.2014,CF-O,,2-89,207.36,219.09,313.44,143.129
ATM,CEL,20.09.2014,CF-G,De Souza Filho,1-30,334.24,281.89,352.96,154.882
ATM,CEL,20.09.2014,GF,Godín,1-40,317.6,305.44,424.72,136.528
ATM,CEL,20.09.2014,CF-O,,2-89,432,294.45,444.48,140.875
ATM,CEL,20.09.2014,CF-S,,1-29,297.84,294.45,331.12,255.2
ATM,CEL,20.09.2014,CF-S,,2-76,359.2,318,375.84,186.12
ATM,ALM,24.09.2014,GF,De Souza Filho,2-59,451.76,208.1,419.52,139.587
ATM,ALM,24.09.2014,CF-S,,1-7,373.76,266.19,380,171.99
ATM,ALM,24.09.2014,CF-S,,2-68,218.8,278.75,258.32,239.5
ATM,SEV,27.09.2014,GF,Resurrección,1-18,182.4,446.74,408.08,108.997
ATM,SEV,27.09.2014,CF-G,Ñíguez,1-41,294.72,222.23,426.8,153.916
ATM,SEV,27.09.2014,CF-G,Garcia Escudero,2-82,380,341.55,347.76,158.907
ATM,SEV,27.09.2014,CF-G,Jiménez,2-88,376.88,228.51,336.32,149.73
ATM,SEV,27.09.2014,CF-O,,2-69,401.84,209.67,370.64,78.246
ATM,VAL,04.10.2014,CF-G,Mandzukic,1-28,328,313.29,349.84,143.612
ATM,VAL,04.10.2014,CF-S,,1-45,380,341.55,370.64,175.13
ATM,ESP,19.10.2014,GF,Cardoso Mendes,1-42,321.76,330.56,421.6,150.857
ATM,ESP,19.10.2014,CF-G,Suárez,2-70,364.4,178.27,346.72,157.941
ATM,ESP,19.10.2014,CF-O,,2-83,542.24,204.96,438.24,122.199
ATM,ESP,19.10.2014,CF-S,,1-2,332.16,192.4,338.4,170.42
ATM,ESP,19.10.2014,CF-S,,1-2,340.48,220.66,354,168.85
ATM,ESP,19.10.2014,CF-S,,1-2,355.04,198.68,354,170.42
ATM,ESP,19.10.2014,CF-S,,2-64,252.08,318,321.76,239.5
ATM,GET,26.10.2014,CF-G,Mandzukic,1-39,378.96,230.08,393.52,160.034
ATM,GET,26.10.2014,CF-S,,1-20,350.88,291.31,363.36,184.55
ATM,COR,01.11.2014,GF,Griezmann,1-42,486.08,336.84,336.32,158.907
ATM,COR,01.11.2014,GF,Griezmann,2-57,490.24,245.78,427.84,132.503
ATM,COR,01.11.2014,CF-G,Mandzukic,2-61,395.6,250.49,394.56,158.907
ATM,COR,01.11.2014,GF,Garcia Escudero,2-79,302,239.5,423.68,158.907
